# seed = 1, gamma = 0.0, beta = 0.25, dee = 100.0, dcc = 200.0, dec = 150.0, dsc = 200.0, dLocalhost = 0.015, hostBroker = CLOUD, numOfCloud = 1, numOfEdge = 1, numOfSmartphone = 75 
#
# The columns have the following meaning: 
# instant[SECONDS] delayCountPartial delaySumPartial[SECONDS] delayMaxPartial[SECONDS] delayCountTot delaySumTot[SECONDS] delayMaxTot[SECONDS] runOnCloudPartial runOnEdgePartial runOnSmartphonePartial runOnCloudTot runOnEdgeTot runOnSmartphoneTot
0.0 0 0.0 0.0 0 0.0 0.0 0 0 0 0 0 0
900.0 16561 2.483308666E7 3113.36 16561 2.483308666E7 3113.36 235 0 75 235 0 75
1800.0 16524 6.247922809E7 5446.64 33085 8.731231475E7 5446.64 235 0 75 470 0 150
2700.0 16452 1.0002719107E8 7779.61 49537 1.8733950582E8 7779.61 235 0 75 705 0 225
3600.0 16460 1.3768586701E8 10112.57 65997 3.2502537282E8 10112.57 235 0 75 940 0 300
4500.0 16560 1.7600568916E8 12446.1 82557 5.0103106198E8 12446.1 235 0 75 1175 0 375
5400.0 16524 2.1346286635E8 14779.08 99081 7.1449392833E8 14779.08 235 0 75 1410 0 450
6300.0 16452 2.5067132852E8 17112.04 115533 9.6516525686E8 17112.04 235 0 75 1645 0 525
7200.0 16453 2.8833000446E8 19445.0 131986 1.25349526132E9 19445.0 235 0 75 1880 0 600
8100.0 16560 3.2713179408E8 21778.53 148546 1.5806270554E9 21778.53 235 0 75 2115 0 675
9000.0 16524 3.6444184915E8 24111.51 165070 1.94506890455E9 24111.51 235 0 75 2350 0 750
9900.0 16452 4.0131546625E8 26444.47 181522 2.3463843708E9 26444.47 235 0 75 2585 0 825
10800.0 16452 4.3897868918E8 28778.0 197974 2.78536305998E9 28778.0 235 0 75 2820 0 900
11700.0 16560 4.783066227E8 31110.97 214534 3.26366968268E9 31110.97 235 0 75 3055 0 975
12600.0 16524 5.1542307698E8 33443.94 231058 3.77909275966E9 33443.94 235 0 75 3290 0 1050
13500.0 16452 5.5195960397E8 35776.91 247510 4.33105236363E9 35776.91 235 0 75 3525 0 1125
14400.0 16452 5.8962282691E8 38110.43 263962 4.92067519054E9 38110.43 235 0 75 3760 0 1200
15300.0 16560 6.294327041E8 40443.41 280522 5.55010789464E9 40443.41 235 0 75 3995 0 1275
16200.0 16530 6.6640205979E8 42776.38 297052 6.21650995443E9 42776.38 235 0 75 4230 0 1350
17100.0 16455 7.0260708074E8 45109.75 313507 6.91911703517E9 45109.75 235 0 75 4465 0 1425
18000.0 16452 7.4027044577E8 47442.87 329959 7.65938748094E9 47442.87 235 0 75 4700 0 1500
18900.0 16560 7.8058075313E8 49775.84 346519 8.43996823406E9 49775.84 235 0 75 4935 0 1575
19800.0 16525 8.1738211607E8 52108.81 363044 9.25735035013E9 52108.81 235 0 75 5170 0 1650
20700.0 16452 8.5325238359E8 54442.34 379496 1.011060273372E10 54442.34 235 0 75 5405 0 1725
21600.0 16452 8.9091578648E8 56775.31 395948 1.10015185202E10 56775.31 235 0 75 5640 0 1800
22500.0 16560 9.3172883325E8 59108.27 412508 1.193324735344E10 59108.27 235 0 75 5875 0 1875
23400.0 16524 9.6836223039E8 61441.24 429032 1.290160958383E10 61441.24 235 0 75 6110 0 1950
24300.0 16452 1.00389652131E9 63774.77 445484 1.390550610514E10 63774.77 235 0 75 6345 0 2025
25200.0 16452 1.0415599242E9 66107.74 461936 1.494706602935E10 66107.74 235 0 75 6580 0 2100
26100.0 16560 1.08289895709E9 68440.7 478496 1.602996498643E10 68440.7 235 0 75 6815 0 2175
27000.0 16525 1.11934688865E9 70774.24 495021 1.714931187508E10 70774.24 235 0 75 7050 0 2250
27900.0 16452 1.15454538632E9 73107.21 511473 1.83038572614E10 73107.21 235 0 75 7285 0 2325
28800.0 16452 1.19220406225E9 75440.17 527925 1.949606132365E10 75440.17 235 0 75 7520 0 2400
29700.0 16568 1.23402502986E9 77773.14 544493 2.073008635351E10 77773.14 235 0 75 7755 0 2475
30600.0 16524 1.27032698546E9 80106.67 561017 2.200041333897E10 80106.67 235 0 75 7990 0 2550
31500.0 16452 1.30518952453E9 82439.65 577469 2.33056028635E10 82439.65 235 0 75 8225 0 2625
32400.0 16453 1.34284820046E9 84772.61 593922 2.464845106396E10 84772.61 235 0 75 8460 0 2700
33300.0 16560 1.38517756069E9 87106.13 610482 2.603362862465E10 87106.13 235 0 75 8695 0 2775
34200.0 16524 1.42131183734E9 89439.12 627006 2.745494046199E10 89439.12 235 0 75 8930 0 2850
35100.0 16452 1.45583366279E9 91772.08 643458 2.891077412478E10 91772.08 235 0 75 9165 0 2925
36000.0 16452 1.49349233873E9 94105.04 659910 3.040426646351E10 94105.04 235 0 75 9400 0 3000
36900.0 16560 1.5363257614E9 96438.57 676470 3.194059222491E10 96438.57 235 0 75 9635 0 3075
37800.0 16524 1.57229194538E9 98771.55 692994 3.351288417029E10 98771.55 235 0 75 9870 0 3150
38700.0 16452 1.60647780116E9 101104.51 709446 3.511936197145E10 101104.51 235 0 75 10105 0 3225
39600.0 16452 1.64413647709E9 103437.47 725898 3.676349844855E10 103437.47 235 0 75 10340 0 3300
40500.0 16560 1.68747385116E9 105771.0 742458 3.845097229971E10 105771.0 235 0 75 10575 0 3375
41400.0 16524 1.72327205134E9 108103.98 758982 4.017424435105E10 108103.98 235 0 75 10810 0 3450
42300.0 16461 1.75712193952E9 110436.95 775443 4.193136629057E10 110436.95 235 0 75 11045 0 3525
43200.0 16452 1.79478516245E9 112770.47 791895 4.372615145302E10 112770.47 235 0 75 11280 0 3600
44100.0 16560 1.83862667275E9 115103.44 808455 4.556477812577E10 115103.44 235 0 75 11515 0 3675
45000.0 16524 1.8742521573E9 117436.42 824979 4.743903028307E10 117436.42 235 0 75 11750 0 3750
45900.0 16453 1.90776607794E9 119769.38 841432 4.9346796361E10 119769.38 235 0 75 11985 0 3825
46800.0 16452 1.94542930087E9 122102.91 857884 5.129222566187E10 122102.91 235 0 75 12220 0 3900
47700.0 16560 1.98979679724E9 124435.88 874444 5.328202245911E10 124435.88 235 0 75 12455 0 3975
48600.0 16524 2.02523225442E9 126768.85 890968 5.530725471353E10 126768.85 235 0 75 12690 0 4050
49500.0 16452 2.05841470307E9 129102.37 907420 5.73656694166E10 129102.37 235 0 75 12925 0 4125
50400.0 16452 2.09607816237E9 131435.35 923872 5.946174757897E10 131435.35 235 0 75 13160 0 4200
51300.0 16560 2.14092286148E9 133768.31 940432 6.160267044045E10 133768.31 235 0 75 13395 0 4275
52200.0 16524 2.17621236954E9 136101.28 956956 6.377888280999E10 136101.28 235 0 75 13630 0 4350
53100.0 16453 2.20905889911E9 138434.81 973409 6.59879417091E10 138434.81 235 0 75 13865 0 4425
54000.0 16452 2.246722302E9 140767.78 989861 6.82346640111E10 140767.78 235 0 75 14100 0 4500
54900.0 16560 2.2920709514E9 143100.74 1006421 7.05267349625E10 143100.74 235 0 75 14335 0 4575
55800.0 16532 2.32719281514E9 145433.72 1022953 7.285392777764E10 145433.72 235 0 75 14570 0 4650
56700.0 16452 2.35970303758E9 147767.24 1039405 7.521363081522E10 147767.24 235 0 75 14805 0 4725
57600.0 16452 2.39736644047E9 150100.22 1055857 7.761099725569E10 150100.22 235 0 75 15040 0 4800
58500.0 16561 2.44321904127E9 152433.18 1072418 8.005421629696E10 152433.18 235 0 75 15275 0 4875
59400.0 16524 2.47817713429E9 154766.71 1088942 8.253239343125E10 154766.71 235 0 75 15510 0 4950
60300.0 16452 2.510351903E9 157099.69 1105394 8.504274533426E10 157099.69 235 0 75 15745 0 5025
61200.0 16452 2.54801057894E9 159432.65 1121846 8.759075591319E10 159432.65 235 0 75 15980 0 5100
62100.0 16560 2.59436713114E9 161765.61 1138406 9.018512304433E10 161765.61 235 0 75 16215 0 5175
63000.0 16524 2.62915724036E9 164099.15 1154930 9.281428028469E10 164099.15 235 0 75 16450 0 5250
63900.0 16452 2.66099604147E9 166432.12 1171382 9.547527632616E10 166432.12 235 0 75 16685 0 5325
64800.0 16452 2.69865471741E9 168765.08 1187834 9.817393104357E10 168765.08 235 0 75 16920 0 5400
65700.0 16561 2.74554181121E9 171098.61 1204395 1.0091947285478E11 171098.61 235 0 75 17155 0 5475
66600.0 16524 2.78014208557E9 173431.59 1220919 1.0369961494035E11 173431.59 235 0 75 17390 0 5550
67500.0 16452 2.81164017994E9 175764.55 1237371 1.0651125512029E11 175764.55 235 0 75 17625 0 5625
68400.0 16460 2.84929885587E9 178097.52 1253831 1.0936055397616E11 178097.52 235 0 75 17860 0 5700
69300.0 16560 2.89666786315E9 180431.04 1270391 1.1225722183931E11 180431.04 235 0 75 18095 0 5775
70200.0 16524 2.93112218264E9 182764.02 1286915 1.1518834402195E11 182764.02 235 0 75 18330 0 5850
71100.0 16452 2.96228431841E9 185096.99 1303367 1.1815062834036E11 185096.99 235 0 75 18565 0 5925
72000.0 16453 2.99994407686E9 187430.09 1319820 1.2115057241722E11 187430.09 235 0 75 18800 0 6000
72900.0 16560 3.04781710103E9 189763.48 1336380 1.2419838951825E11 189763.48 235 0 75 19035 0 6075
73800.0 16524 3.08210226367E9 192096.45 1352904 1.2728049178192E11 192096.45 235 0 75 19270 0 6150
74700.0 16452 3.11292842291E9 194429.42 1369356 1.3039342020483E11 194429.42 235 0 75 19505 0 6225
75600.0 16452 3.15059164585E9 196762.95 1385808 1.3354401185068E11 196762.95 235 0 75 19740 0 6300
76500.0 16560 3.19899077531E9 199095.92 1402368 1.3674300262598E11 199095.92 235 0 75 19975 0 6375
77400.0 16524 3.23308236974E9 201428.89 1418892 1.3997608499572E11 201428.89 235 0 75 20210 0 6450
78300.0 16452 3.26357256138E9 203761.85 1435344 1.432396575571E11 203761.85 235 0 75 20445 0 6525
79200.0 16453 3.30123583472E9 206095.38 1451797 1.4654089339182E11 206095.38 235 0 75 20680 0 6600
80100.0 16560 3.3501168395E9 208428.35 1468357 1.4989101023132E11 208428.35 235 0 75 20915 0 6675
81000.0 16532 3.38406359831E9 210761.32 1484889 1.5327507382963E11 210761.32 235 0 75 21150 0 6750
81900.0 16452 3.41422124393E9 213094.85 1501341 1.5668929507356E11 213094.85 235 0 75 21385 0 6825
82800.0 16452 3.45188464682E9 215427.82 1517793 1.6014117972038E11 215427.82 235 0 75 21620 0 6900
83700.0 16560 3.50128696399E9 217760.78 1534353 1.6364246668437E11 217760.78 235 0 75 21855 0 6975
84600.0 16525 3.53504258182E9 220093.75 1550878 1.6717750926619E11 220093.75 235 0 75 22090 0 7050
85500.0 16452 3.56486538234E9 222427.28 1567330 1.7074237464853E11 222427.28 235 0 75 22325 0 7125
86400.0 16452 3.60252878523E9 224760.25 1583782 1.7434490343376E11 224760.25 235 0 75 22560 0 7200
87300.0 16560 3.65241301013E9 227093.22 1600342 1.7799731644389E11 227093.22 235 0 75 22795 0 7275
88200.0 16524 3.68602588024E9 229426.47 1616866 1.8168334232413E11 229426.47 235 0 75 23030 0 7350
89100.0 16452 3.71551197146E9 231759.72 1633318 1.8539885429559E11 231759.72 235 0 75 23265 0 7425
90000.0 16452 3.75317286764E9 234092.68 1649770 1.8915202716324E11 234092.68 235 0 75 23500 0 7500
90900.0 16560 3.80358307842E9 236425.65 1666330 1.9295561024166E11 236425.65 235 0 75 23735 0 7575
91800.0 16524 3.83700728139E9 238759.18 1682854 1.9679261752305E11 238759.18 235 0 75 23970 0 7650
92700.0 16452 3.86615833018E9 241092.16 1699306 2.0065877585323E11 241092.16 235 0 75 24205 0 7725
93600.0 16452 3.90381700611E9 243425.12 1715758 2.0456259285934E11 243425.12 235 0 75 24440 0 7800
94500.0 16569 3.95470914261E9 245758.08 1732327 2.0851730200195E11 245758.08 235 0 75 24675 0 7875
95400.0 16524 3.98798842607E9 248091.62 1748851 2.1250529042803E11 248091.62 235 0 75 24910 0 7950
96300.0 16452 4.01680246865E9 250424.59 1765303 2.1652209289667E11 250424.59 235 0 75 25145 0 8025
97200.0 16453 4.05446114458E9 252757.55 1781756 2.2057655404126E11 252757.55 235 0 75 25380 0 8100
98100.0 16560 4.10586179376E9 255091.08 1798316 2.2468241583501E11 255091.08 235 0 75 25615 0 8175
99000.0 16524 4.13897223267E9 257424.06 1814840 2.2882138806768E11 257424.06 235 0 75 25850 0 8250
99900.0 16452 4.16744660712E9 259757.02 1831292 2.329888346748E11 259757.02 235 0 75 26085 0 8325
100800.0 16452 4.20510528305E9 262089.98 1847744 2.3719393995785E11 262089.98 235 0 75 26320 0 8400
101700.0 16560 4.25700988363E9 264423.51 1864304 2.4145094984148E11 264423.51 235 0 75 26555 0 8475
102600.0 16524 4.28995234774E9 266756.49 1880828 2.4574090218922E11 266756.49 235 0 75 26790 0 8550
103500.0 16452 4.31809074559E9 269089.45 1897280 2.5005899293481E11 269089.45 235 0 75 27025 0 8625
104400.0 16453 4.35575287832E9 271422.85 1913733 2.5441474581313E11 271422.85 235 0 75 27260 0 8700
105300.0 16560 4.40816171418E9 273755.95 1930293 2.5882290752731E11 273755.95 235 0 75 27495 0 8775
106200.0 16524 4.44093240841E9 276088.92 1946817 2.6326383993572E11 276088.92 235 0 75 27730 0 8850
107100.0 16460 4.46873484775E9 278421.89 1963277 2.6773257478347E11 278421.89 235 0 75 27965 0 8925
108000.0 16452 4.50639807068E9 280755.41 1979729 2.7223897285414E11 280755.41 235 0 75 28200 0 9000
108900.0 16560 4.55931076775E9 283088.38 1996289 2.767982836219E11 283088.38 235 0 75 28435 0 9075
109800.0 16524 4.59191252354E9 285421.36 2012813 2.8139019614543E11 285421.36 235 0 75 28670 0 9150
110700.0 16453 4.61937898632E9 287754.32 2029266 2.8600957513176E11 287754.32 235 0 75 28905 0 9225
111600.0 16452 4.65704220925E9 290087.85 2045718 2.9066661734101E11 290087.85 235 0 75 29140 0 9300
112500.0 16560 4.71045886673E9 292420.82 2062278 2.9537707620774E11 292420.82 235 0 75 29375 0 9375
113400.0 16524 4.74289262071E9 294753.79 2078802 3.0011996882845E11 294753.79 235 0 75 29610 0 9450
114300.0 16452 4.77002766903E9 297087.32 2095254 3.0488999649748E11 297087.32 235 0 75 29845 0 9525
115200.0 16452 4.80769107192E9 299420.29 2111706 3.096976875694E11 299420.29 235 0 75 30080 0 9600
116100.0 16560 4.86160693871E9 301753.25 2128266 3.1455929450811E11 301753.25 235 0 75 30315 0 9675
117000.0 16524 4.89387273589E9 304086.22 2144790 3.19453167244E11 304086.22 235 0 75 30550 0 9750
117900.0 16453 4.92067180761E9 306419.75 2161243 3.2437383905161E11 306419.75 235 0 75 30785 0 9825
118800.0 16452 4.9583352105E9 308752.72 2177695 3.293321742621E11 308752.72 235 0 75 31020 0 9900
119700.0 16566 5.01275505568E9 311085.68 2194261 3.3434492931779E11 311085.68 235 0 75 31255 0 9975
120600.0 16526 5.04485727483E9 313419.21 2210787 3.3938978659262E11 313419.21 235 0 75 31490 0 10050
121500.0 16452 5.071320671E9 315752.19 2227239 3.4446110726362E11 315752.19 235 0 75 31725 0 10125
122400.0 16452 5.10897934908E9 318085.16 2243691 3.495700866127E11 318085.16 235 0 75 31960 0 10200
123300.0 16561 5.16390312766E9 320418.12 2260252 3.5473398974036E11 320418.12 235 0 75 32195 0 10275
124200.0 16524 5.19583750087E9 322751.65 2276776 3.5992982724122E11 322751.65 235 0 75 32430 0 10350
125100.0 16452 5.22196481172E9 325084.63 2293228 3.6515179205294E11 325084.63 235 0 75 32665 0 10425
126000.0 16452 5.25962348765E9 327417.59 2309680 3.704114155406E11 327417.59 235 0 75 32900 0 10500
126900.0 16560 5.31505122664E9 329750.55 2326240 3.7572646676724E11 329750.55 235 0 75 33135 0 10575
127800.0 16524 5.34681760704E9 332084.09 2342764 3.8107328437428E11 332084.09 235 0 75 33370 0 10650
128700.0 16452 5.3726089503E9 334417.06 2359216 3.8644589332458E11 334417.06 235 0 75 33605 0 10725
129600.0 16452 5.41026762623E9 336750.02 2375668 3.9185616095081E11 336750.02 235 0 75 33840 0 10800
130500.0 16561 5.46620388689E9 339083.55 2392229 3.973223648377E11 339083.55 235 0 75 34075 0 10875
131400.0 16524 5.49780244336E9 341416.53 2408753 4.0282016728106E11 341416.53 235 0 75 34310 0 10950
132300.0 16452 5.52325308888E9 343749.49 2425205 4.0834342036994E11 343749.49 235 0 75 34545 0 11025
133200.0 16460 5.56091176481E9 346082.46 2441665 4.1390433213475E11 346082.46 235 0 75 34780 0 11100
134100.0 16560 5.61735196787E9 348415.98 2458225 4.1952168410262E11 348415.98 235 0 75 35015 0 11175
135000.0 16524 5.64878255854E9 350748.96 2474749 4.2517046666116E11 350748.96 235 0 75 35250 0 11250
135900.0 16453 5.67389722745E9 353081.93 2491202 4.3084436388862E11 353081.93 235 0 75 35485 0 11325
136800.0 16452 5.71156039287E9 355415.45 2507654 4.3655592428149E11 355415.45 235 0 75 35720 0 11400
137700.0 16560 5.76850478856E9 357748.43 2524214 4.4232442907005E11 357748.43 235 0 75 35955 0 11475
138600.0 16524 5.79976265572E9 360081.4 2540738 4.4812419172577E11 360081.4 235 0 75 36190 0 11550
139500.0 16452 5.82454136603E9 362414.36 2557190 4.5394873309181E11 362414.36 235 0 75 36425 0 11625
140400.0 16452 5.86220458896E9 364747.89 2573642 4.5981093768077E11 364747.89 235 0 75 36660 0 11700
141300.0 16560 5.91965288865E9 367080.86 2590202 4.6573059056942E11 367080.86 235 0 75 36895 0 11775
142200.0 16524 5.9507427709E9 369413.83 2606726 4.7168133334031E11 369413.83 235 0 75 37130 0 11850
143100.0 16453 5.97518560125E9 371746.8 2623179 4.7765651894157E11 371746.8 235 0 75 37365 0 11925
144000.0 16452 6.01284877248E9 374080.32 2639631 4.8366936771405E11 374080.32 235 0 75 37600 0 12000
144900.0 16560 6.07080097593E9 376413.29 2656191 4.8974016868998E11 376413.29 235 0 75 37835 0 12075
145800.0 16532 6.10172286538E9 378746.26 2672723 4.9584189155536E11 378746.26 235 0 75 38070 0 12150
146700.0 16452 6.12583418463E9 381079.79 2689175 5.0196772573999E11 381079.79 235 0 75 38305 0 12225
147600.0 16452 6.16349758752E9 383412.76 2705627 5.0813122332751E11 383412.76 235 0 75 38540 0 12300
148500.0 16560 6.22194906591E9 385745.73 2722187 5.1435317239342E11 385745.73 235 0 75 38775 0 12375
149400.0 16525 6.25270298056E9 388078.7 2738712 5.2060587537398E11 388078.7 235 0 75 39010 0 12450
150300.0 16452 6.27647832321E9 390412.23 2755164 5.2688235369719E11 390412.23 235 0 75 39245 0 12525
151200.0 16452 6.31414172611E9 392745.2 2771616 5.331964954233E11 392745.2 235 0 75 39480 0 12600
152100.0 16560 6.37309714691E9 395078.16 2788176 5.3956959257021E11 395078.16 235 0 75 39715 0 12675
153000.0 16524 6.40368763044E9 397411.7 2804700 5.4597328020066E11 397411.7 235 0 75 39950 0 12750
153900.0 16452 6.42712718884E9 399744.67 2821152 5.524004073895E11 399744.67 235 0 75 40185 0 12825
154800.0 16452 6.46478586479E9 402077.63 2837604 5.5886519325429E11 402077.63 235 0 75 40420 0 12900
