# seed = 1, gamma = 0.0, beta = 0.5, dee = 100.0, dcc = 200.0, dec = 150.0, dsc = 1000.0, dLocalhost = 0.015, hostBroker = EDGE, numOfCloud = 1, numOfEdge = 1, numOfSmartphone = 150 
#
# The columns have the following meaning: 
# instant[SECONDS] delayCountPartial delaySumPartial[SECONDS] delayMaxPartial[SECONDS] delayCountTot delaySumTot[SECONDS] delayMaxTot[SECONDS] runOnCloudPartial runOnEdgePartial runOnSmartphonePartial runOnCloudTot runOnEdgeTot runOnSmartphoneTot
0.0 0 0.0 0.0 0 0.0 0.0 0 0 0 0 0 0
900.0 16560 8.085878027E7 9982.03 16560 8.085878027E7 9982.03 160 0 150 160 0 150
1800.0 16524 2.3152583948E8 19319.39 33084 3.1238461975E8 19319.39 160 0 150 320 0 300
2700.0 16453 3.8183758202E8 28656.26 49537 6.9422220177E8 28656.26 160 0 150 480 0 450
3600.0 16452 5.3252803211E8 37993.12 65989 1.22675023388E9 37993.12 160 0 150 640 0 600
4500.0 16560 6.8581640053E8 47329.98 82549 1.91256663441E9 47329.98 160 0 150 800 0 750
5400.0 16524 8.3574092357E8 56666.86 99073 2.74830755798E9 56666.86 160 0 150 960 0 900
6300.0 16452 9.8470026359E8 66003.72 115525 3.73300782158E9 66003.72 160 0 150 1120 0 1050
7200.0 16452 1.13539071368E9 75340.58 131977 4.86839853525E9 75340.58 160 0 150 1280 0 1200
8100.0 16560 1.29062623512E9 84677.44 148537 6.15902477037E9 84677.44 160 0 150 1440 0 1350
9000.0 16524 1.43994443227E9 94014.31 165061 7.59896920264E9 94014.31 160 0 150 1600 0 1500
9900.0 16452 1.58756294543E9 103351.18 181513 9.18653214807E9 103351.18 160 0 150 1760 0 1650
10800.0 16460 1.73825339552E9 112688.04 197973 1.092478554359E10 112688.04 160 0 150 1920 0 1800
11700.0 16560 1.89557984769E9 122025.47 214533 1.282036539128E10 122025.47 160 0 150 2080 0 1950
12600.0 16524 2.04416459605E9 131362.35 231057 1.486452998733E10 131362.35 160 0 150 2240 0 2100
13500.0 16452 2.19043489835E9 140699.21 247509 1.705496488568E10 140699.21 160 0 150 2400 0 2250
14400.0 16452 2.34112534844E9 150036.07 263961 1.939609023412E10 150036.07 160 0 150 2560 0 2400
15300.0 16560 2.50039441745E9 159372.93 280521 2.189648465157E10 159372.93 160 0 150 2720 0 2550
16200.0 16524 2.64836810473E9 168709.81 297045 2.45448527563E10 168709.81 160 0 150 2880 0 2700
17100.0 16452 2.79329758018E9 178046.67 313497 2.733815033648E10 178046.67 160 0 150 3040 0 2850
18000.0 16452 2.94398803026E9 187383.53 329949 3.028213836675E10 187383.53 160 0 150 3200 0 3000
18900.0 16560 3.10527386206E9 196720.39 346509 3.33874122288E10 196720.39 160 0 150 3360 0 3150
19800.0 16524 3.25257528608E9 206057.27 363033 3.663998751489E10 206057.27 160 0 150 3520 0 3300
20700.0 16453 3.39616026201E9 215394.13 379486 4.003614777689E10 215394.13 160 0 150 3680 0 3450
21600.0 16452 3.54685388646E9 224731.38 395938 4.358300166336E10 224731.38 160 0 150 3840 0 3600
22500.0 16560 3.71016097904E9 234068.42 412498 4.729316264239E10 234068.42 160 0 150 4000 0 3750
23400.0 16524 3.85679172633E9 243405.3 429022 5.114995436873E10 243405.3 160 0 150 4160 0 3900
24300.0 16452 3.99903216417E9 252742.16 445474 5.51489865329E10 252742.16 160 0 150 4320 0 4050
25200.0 16452 4.14972261426E9 262079.02 461926 5.929870914716E10 262079.02 160 0 150 4480 0 4200
26100.0 16560 4.31511165723E9 271415.88 478486 6.361382080439E10 271415.88 160 0 150 4640 0 4350
27000.0 16524 4.460998917E9 280752.75 495010 6.807481972139E10 280752.75 160 0 150 4800 0 4500
